时间,评分,版本,标题,内容
2026-04-27T04:12:04-07:00,1,9.28,我,女生好贱
2026-04-27T04:11:46-07:00,1,9.28,莫名被限制,经常莫名被删评禁言 已经很久了
2026-04-27T04:05:00-07:00,1,9.28,汤,谢谢了啊滚滚滚
2026-04-27T03:51:31-07:00,1,9.28,女性最多的app最爱bro,吃着女人的饭砸女人的碗，666
2026-04-27T03:42:03-07:00,5,9.28,小红书的代发超过了一堆人,这评论都是装的，一堆乐
2026-04-27T03:18:21-07:00,1,9.28,客服处理商家问题超慢,商家客服处理退费问题超慢，拖了一个星期依旧未解决
2026-04-27T03:17:30-07:00,1,9.28,永久限流申诉得不到确切答案,永久限流后，我申诉过，打过人工客服，官方顾问也私聊问了，每一个人给出的限流理由都不一样，我请问到底哪个是真的？其次，最后得到了一个理由 叫做该类目平台不再支持了，我搞不明白其他同类目创作者都好好的，为什么小博主被按死了？ 小红书最好给我一个说法，你们让我太气愤了，得不到明确答案就被莫名其妙限流，你就是这样对待创作者的？？？？
2026-04-27T03:13:19-07:00,1,9.28,不尊重创作者,封号限流后还白嫖我流量，浪费我时间，注销了
2026-04-27T03:07:52-07:00,5,9.28,满分,满分！！
2026-04-27T03:03:42-07:00,1,9.28,无故封号,买了东西以后封号很恶心，售后都没了，尽量不要在他家买东西
2026-04-27T03:00:14-07:00,1,9.28,这是一个三观扭曲的平台,这是一个三观扭曲的平台
2026-04-27T02:42:26-07:00,5,9.28,是不是有人给小红书刷好评了？,感觉肯定是有人给小红书刷好评了。个人感觉这个软件里面的用户风评已经臭不可闻了，各种猎奇都会有，甚至有那种三观不正的，带坏小孩子的，也不给封，谁懂那种看着4.9星好评，往下一滑全是一星评价的评论的救赎感😅
2026-04-27T02:32:56-07:00,1,9.28,垃圾软件,莫名其妙封禁账号，封禁理由胡编乱造，客服AI复读，电话打不通，本人几个月未发帖，未互动，账号被永久封禁，封禁账号一刀切，以后再也不会用了，赶紧倒闭吧
2026-04-27T01:02:55-07:00,1,9.28,人为制造焦虑,全是仙女
2026-04-27T00:56:34-07:00,1,9.28,破小红书,动不动就封号，，那些到处@人诈骗的，你咋不封
2026-04-27T00:44:17-07:00,1,9.28,审核是什么极品垃圾,该封的不封，br.心眼就这么小
2026-04-27T00:24:54-07:00,1,9.28,动不动禁言霸凌用户,动不动禁言霸凌用户
2026-04-27T00:01:16-07:00,1,9.28,无缘无故封号,无缘无故就封号，在小红书上认识一个女生，说介绍给我朋友，然后小红书就给我封了，说我引导用户啥的，我都是醉了，倒闭吧
2026-04-26T23:53:47-07:00,1,9.28,莫名其妙被限制,很差！
2026-04-26T23:33:59-07:00,1,9.28,别封号了行吗,天天就封号事逼
2026-04-26T22:20:10-07:00,1,9.28,无缘无故封号,我发啥了就莫名其妙给我封号😂😂别人有问题我回答别人的问题也不行？刚发出去就给我永久封了脑子呢😂😂审核脑子还在吗
2026-04-26T22:13:25-07:00,2,9.28,请小红书适当管理一下群聊内容,群聊的作用是为了大家交流，但是会有一些僵尸号来进群宣传黄色信息、网站等，举报了还会有下一个，希望注意一下谢谢
2026-04-26T22:00:32-07:00,1,9.28,永久封号,就用了一次AI自动发笔记永久封，啥也不说了
2026-04-26T21:45:27-07:00,1,9.28,吃相难看的小红书，早就没了社区底线,"说实话，我从来没想过，一个主打生活分享的社区平台，会滋生出这么多乌烟瘴气的乱象，小红书算是彻底刷新了我的认知。

平台要赚钱本身无可厚非，但它的运营逻辑，完全照搬国产网游最恶心的收割模式：等你用心运营、账号慢慢做起来之后，立刻开始暗地限流。
模糊的违禁词条从不明确公示，内容审核全程显示合规，没有任何违规提醒，却硬生生截断自然流量。用这种阴奉阳违的手段，逼迫创作者氪金买流量、付费投流，赤裸裸收割普通创作者，吃相丑陋又短视。

真正的社区，核心永远是真实分享与良性氛围，而小红书早已彻底本末倒置。
虚假起号、流量骗局、营销号泛滥成灾，软广铺天盖地，平台全程放任不管；
认认真真做原创、做真实分享的普通人和创作者，却处处受限、流量腰斩。所有规则双标对待，只为逼迫用户和创作者为流量买单。

更讽刺的是，我年轻时不懂事，还去面试过小红书。
晚上九点多的面试，临时以高层开会为借口，让求职者在楼下白白苦等一小时，最后只用几句敷衍的话术草草打发。
连对待求职者都毫无尊重，习惯性消耗、打压、PUA员工，对内压榨，对外收割用户与创作者。
这样的企业文化，这样的产品，真的对得起曾经被消耗、被PUA的每一位员工吗？对得起真心信任这个平台的普通用户吗？

如今小红书早已沦为营销卖场，全网所谓攻略、测评，大多是品牌软推和付费广告，客观真实的测评与干货全被掩埋。
单纯想看广告、刷软文，它勉强能用；
但但凡想真诚分享、查找真实参考、安静交流，完全没必要浪费时间。

小红书未必是最烂的平台，但它纵容乱象、双标限流、强行变现、漠视人文底线的风气，早已烂到骨子里。
丢掉初心、耗尽信任的平台，注定只会一步步走向衰败。"
2026-04-26T21:25:48-07:00,2,9.28,何意味,"我最近对你们平台越来越不满意了
发女性主义的视频会被限流被下架 bro相关的就可以了？限流不管 流言蜚语的不管 骂人的不管 就管女性站起来的笔记你想干啥
限流你继续宝子"
2026-04-26T21:13:21-07:00,1,9.28,差,差
2026-04-26T20:57:56-07:00,1,9.28,没有任何原因的警告➕限流,作为一个长期使用的用户，不理解该公司为何无端对用户进行处罚，每一次都给不出具体的理由，并连续三天对同一篇帖子进行处罚，现在说实话就必须被捂嘴是吗？卸载了不用了
2026-04-26T20:27:56-07:00,1,9.28,最小家子气的app,这个app简直有病，老是吞评论，吞他妈撑死你好了
2026-04-26T20:20:30-07:00,4,9.28,建议,给点赞也整个分类吧🙏
2026-04-26T20:15:50-07:00,1,9.28,垃圾软件，就该全民抵制,滚蛋
2026-04-26T19:58:35-07:00,1,9.28,莫名其妙,用的好好的账号突然给我冻结了，跟好友私信都不让。
2026-04-26T19:33:19-07:00,1,9.28,强制实名,强制实名
2026-04-26T18:42:12-07:00,3,9.28,为什么不适配ios26,为什么图标都不适配ios26
2026-04-26T16:38:59-07:00,5,9.27.1,特别好,很好
2026-04-26T15:18:26-07:00,1,9.28,为什么要反复给我推送我已经点过好几次不感兴趣内容不适的内容。,能不能出一个拉黑标签词条的功能。为什么要反复给我推送我点了不喜欢的内容
2026-04-26T10:58:35-07:00,1,9.28,能彻底拉黑不,拉黑了咋还能看见这个人发的东西，能不能拉黑了就别再出现这个人的东西。。。真的很讨厌老是刷到史啊。。
2026-04-26T10:36:44-07:00,1,9.28,乱封号，不想做了就停止运营吧,莫名其妙被封号，把可能相关风险的东西都删了改了，申诉几次还是没用……第一次封的时候，好不容易解封了，我就发了一条纯分享，立刻又被封了……而且一次比一次时间长？申诉是没用的，改动删除也是没用的。估计下次解封之日就是永封之日了。我纯手打做那么多无偿知识科普，免费帮那么多人鉴定科普，你就这样对我哈。不用等你永封，我直接卸载，拜拜，等着你倒闭！
2026-04-26T10:22:18-07:00,5,9.28,可以可以,蛮喜欢的嗯对
2026-04-26T09:51:17-07:00,1,9.28,小说app强制要求看10秒,垃圾
2026-04-26T09:15:40-07:00,1,9.28,无故封号，莫名其妙,我在平台上都没发超过10个帖子，互动更是没多少，封号莫名其妙，也不给具体的违规例子，简直莫名其妙
2026-04-26T08:27:01-07:00,1,9.28,莫名其妙封号,很难理解这个软件的机制，想封号就封了毫无理由，还限制用户注册，动不动就删热度高的帖子，也是奇葩一个了😆
2026-04-26T08:25:01-07:00,1,9.28,乱封账号,真的很差劲的软件，超级超级差劲只是分享自己的减肥日常，没有任何产品 被封零 垃圾垃圾👎👎
2026-04-26T08:23:02-07:00,1,9.28,支付完跳出直播间,垃圾的改版，支付完就跳出了直播间，在抢东西呢，耽误人，多智障的改版，改回来！！！！！！！！
